Product,Category,N_products,Total,Percentage,Fixed,Repairable,End of Life,Fixed Cnt,Repairable Cnt,End of Life Cnt
Hi-Fi separates - Model 4,Hi-Fi separates,93,1,0.0%,41.2%,11.6%,47.2%,0,0,1
Hi-Fi separates - Model 5,Hi-Fi separates,93,10,0.0%,63.8%,6.3%,29.9%,6,1,3
Hi-Fi separates - Model 6,Hi-Fi separates,93,11,0.0%,59.9%,19.9%,20.2%,7,2,2
Hi-Fi separates - Model 7,Hi-Fi separates,93,45,0.0%,53.4%,24.3%,22.4%,24,11,10
Hi-Fi separates - Model 8,Hi-Fi separates,93,1,0.0%,44.3%,6.9%,48.9%,0,0,1
Hi-Fi separates - Model 9,Hi-Fi separates,93,4,0.0%,69.1%,17.4%,13.5%,3,1,0
Hi-Fi separates - Model 10,Hi-Fi separates,93,65,0.0%,67.5%,15.9%,16.6%,44,10,11
Hi-Fi separates - Model 11,Hi-Fi separates,93,8,0.0%,49.9%,25.5%,24.7%,4,2,2
Hi-Fi separates - Model 12,Hi-Fi separates,93,43,0.0%,72.0%,22.4%,5.7%,31,10,2
Hi-Fi separates - Model 13,Hi-Fi separates,93,11,0.0%,50.9%,19.8%,29.4%,6,2,3
Hi-Fi separates - Model 14,Hi-Fi separates,93,4,0.0%,54.4%,7.3%,38.3%,2,0,2
Hi-Fi separates - Model 15,Hi-Fi separates,93,11,0.0%,76.7%,8.4%,14.9%,8,1,2
Hi-Fi separates - Model 16,Hi-Fi separates,93,52,0.0%,78.0%,16.2%,5.8%,41,8,3
Hi-Fi separates - Model 17,Hi-Fi separates,93,78,0.0%,47.4%,18.5%,34.0%,37,14,27
Hi-Fi separates - Model 18,Hi-Fi separates,93,72,0.0%,74.9%,23.3%,1.8%,54,17,1
Hi-Fi separates - Model 19,Hi-Fi separates,93,20,0.0%,72.3%,21.5%,6.3%,14,4,2
Hi-Fi separates - Model 20,Hi-Fi separates,93,45,0.0%,67.7%,26.2%,6.1%,30,12,3
Hi-Fi separates - Model 21,Hi-Fi separates,93,9,0.0%,50.0%,17.2%,32.8%,4,2,3
Hi-Fi separates - Model 22,Hi-Fi separates,93,14,0.0%,48.8%,29.7%,21.5%,7,4,3
Hi-Fi separates - Model 23,Hi-Fi separates,93,92,0.0%,77.8%,6.0%,16.3%,72,6,14
Hi-Fi separates - Model 24,Hi-Fi separates,93,1,0.0%,68.2%,28.1%,3.6%,1,0,0
Hi-Fi separates - Model 25,Hi-Fi separates,93,4,0.0%,47.2%,19.2%,33.6%,2,1,1
Hi-Fi separates - Model 26,Hi-Fi separates,93,9,0.0%,76.6%,5.8%,17.5%,7,1,1
Hi-Fi separates - Model 27,Hi-Fi separates,93,1,0.0%,67.9%,12.4%,19.7%,1,0,0
Hi-Fi separates - Model 28,Hi-Fi separates,93,8,0.0%,73.8%,26.2%,0.0%,6,2,0
Hi-Fi separates - Model 29,Hi-Fi separates,93,35,0.0%,77.8%,16.9%,5.4%,27,6,2
Hi-Fi separates - Model 30,Hi-Fi separates,93,22,0.0%,74.2%,25.8%,0.0%,16,6,0
Hi-Fi separates - Model 31,Hi-Fi separates,93,90,0.0%,52.8%,25.7%,21.5%,47,23,20
Hi-Fi separates - Model 32,Hi-Fi separates,93,69,0.0%,41.5%,19.9%,38.6%,29,14,26
Hi-Fi separates - Model 33,Hi-Fi separates,93,17,0.0%,49.2%,8.0%,42.8%,8,1,8
Hi-Fi separates - Model 34,Hi-Fi separates,93,12,0.0%,43.1%,22.4%,34.5%,5,3,4
Hi-Fi separates - Model 35,Hi-Fi separates,93,19,0.0%,53.6%,23.1%,23.3%,10,4,5
Hi-Fi separates - Model 36,Hi-Fi separates,93,36,0.0%,42.6%,12.9%,44.5%,15,5,16
Hi-Fi separates - Model 37,Hi-Fi separates,93,13,0.0%,61.6%,24.8%,13.7%,8,3,2
Hi-Fi separates - Model 38,Hi-Fi separates,93,40,0.0%,52.8%,20.6%,26.6%,21,8,11
Hi-Fi separates - Model 39,Hi-Fi separates,93,21,0.0%,75.4%,20.4%,4.2%,16,4,1
Hi-Fi separates - Model 40,Hi-Fi separates,93,32,0.0%,49.3%,5.6%,45.1%,16,2,14
Hi-Fi separates - Model 41,Hi-Fi separates,93,23,0.0%,74.8%,5.5%,19.7%,17,1,5
Hi-Fi separates - Model 42,Hi-Fi separates,93,14,0.0%,75.0%,18.2%,6.8%,10,3,1
Hi-Fi separates - Model 43,Hi-Fi separates,93,120,0.0%,76.3%,23.7%,0.0%,92,28,0
Hi-Fi separates - Model 44,Hi-Fi separates,93,58,0.0%,79.9%,13.8%,6.3%,46,8,4
Hi-Fi separates - Model 45,Hi-Fi separates,93,6,0.0%,70.7%,15.0%,14.3%,4,1,1
Hi-Fi separates - Model 46,Hi-Fi separates,93,82,0.0%,59.2%,20.7%,20.1%,49,17,16
Hi-Fi separates - Model 47,Hi-Fi separates,93,27,0.0%,72.7%,27.3%,0.0%,20,7,0
Hi-Fi separates - Model 48,Hi-Fi separates,93,91,0.0%,70.7%,15.4%,13.8%,64,14,13
Hi-Fi separates - Model 49,Hi-Fi separates,93,65,0.0%,56.9%,23.4%,19.7%,37,15,13
Hi-Fi separates - Model 50,Hi-Fi separates,93,22,0.0%,49.6%,7.8%,42.7%,11,2,9
Hi-Fi separates - Model 51,Hi-Fi separates,93,1,0.0%,54.2%,12.2%,33.6%,1,0,0
Hi-Fi separates - Model 52,Hi-Fi separates,93,13,0.0%,51.9%,10.8%,37.3%,7,1,5
Hi-Fi separates - Model 53,Hi-Fi separates,93,32,0.0%,41.7%,5.4%,52.9%,13,2,17
Hi-Fi separates - Model 54,Hi-Fi separates,93,41,0.0%,79.5%,15.7%,4.8%,33,6,2
Hi-Fi separates - Model 55,Hi-Fi separates,93,12,0.0%,55.4%,22.0%,22.6%,7,3,2
Hi-Fi separates - Model 56,Hi-Fi separates,93,6,0.0%,48.7%,28.7%,22.5%,3,2,1
Hi-Fi separates - Model 57,Hi-Fi separates,93,73,0.0%,71.5%,7.2%,21.3%,52,5,16
Hi-Fi separates - Model 58,Hi-Fi separates,93,168,0.1%,56.7%,27.0%,16.3%,95,45,28
Hi-Fi separates - Model 59,Hi-Fi separates,93,30,0.0%,77.8%,16.7%,5.5%,23,5,2
Hi-Fi separates - Model 60,Hi-Fi separates,93,8,0.0%,64.5%,9.2%,26.3%,5,1,2
Hi-Fi separates - Model 61,Hi-Fi separates,93,13,0.0%,79.6%,10.8%,9.6%,10,1,2
Hi-Fi separates - Model 62,Hi-Fi separates,93,1,0.0%,77.7%,21.2%,1.0%,1,0,0
Hi-Fi separates - Model 63,Hi-Fi separates,93,99,0.0%,64.3%,17.8%,17.9%,64,18,17
Hi-Fi separates - Model 64,Hi-Fi separates,93,5,0.0%,49.2%,9.4%,41.4%,2,0,3
Hi-Fi separates - Model 65,Hi-Fi separates,93,35,0.0%,48.8%,9.7%,41.5%,17,3,15
Hi-Fi separates - Model 66,Hi-Fi separates,93,13,0.0%,71.2%,13.8%,15.1%,9,2,2
Hi-Fi separates - Model 67,Hi-Fi separates,93,33,0.0%,42.3%,29.2%,28.5%,14,10,9
Hi-Fi separates - Model 68,Hi-Fi separates,93,43,0.0%,73.6%,26.4%,0.0%,32,11,0
Hi-Fi separates - Model 69,Hi-Fi separates,93,72,0.0%,79.8%,9.3%,10.9%,57,7,8
Hi-Fi separates - Model 70,Hi-Fi separates,93,9,0.0%,55.8%,24.0%,20.2%,5,2,2
Hi-Fi separates - Model 71,Hi-Fi separates,93,0,0.0%,67.8%,8.8%,23.3%,0,0,0
Hi-Fi separates - Model 72,Hi-Fi separates,93,6,0.0%,72.6%,10.6%,16.8%,4,1,1
Hi-Fi separates - Model 73,Hi-Fi separates,93,93,0.0%,49.0%,18.4%,32.6%,46,17,30
Hi-Fi separates - Model 74,Hi-Fi separates,93,84,0.0%,63.7%,19.5%,16.8%,54,16,14
Hi-Fi separates - Model 75,Hi-Fi separates,93,37,0.0%,43.7%,26.9%,29.4%,16,10,11
Hi-Fi separates - Model 76,Hi-Fi separates,93,37,0.0%,50.6%,8.2%,41.1%,19,3,15
Hi-Fi separates - Model 77,Hi-Fi separates,93,44,0.0%,73.3%,26.7%,0.0%,32,12,0
Hi-Fi separates - Model 78,Hi-Fi separates,93,8,0.0%,74.5%,25.2%,0.3%,6,2,0
Hi-Fi separates - Model 79,Hi-Fi separates,93,99,0.0%,66.2%,18.8%,15.0%,66,19,14
Hi-Fi separates - Model 80,Hi-Fi separates,93,22,0.0%,43.5%,15.2%,41.3%,10,3,9
Hi-Fi separates - Model 81,Hi-Fi separates,93,20,0.0%,54.9%,11.5%,33.6%,11,2,7
Hi-Fi separates - Model 82,Hi-Fi separates,93,30,0.0%,68.9%,17.4%,13.7%,21,5,4
Hi-Fi separates - Model 83,Hi-Fi separates,93,2,0.0%,43.2%,10.5%,46.3%,1,0,1
Hi-Fi separates - Model 84,Hi-Fi separates,93,7,0.0%,67.3%,6.9%,25.8%,5,0,2
Hi-Fi separates - Model 85,Hi-Fi separates,93,54,0.0%,74.0%,17.4%,8.6%,40,9,5
Hi-Fi separates - Model 86,Hi-Fi separates,93,3,0.0%,59.2%,19.8%,21.0%,2,1,0
Hi-Fi separates - Model 87,Hi-Fi separates,93,37,0.0%,73.0%,13.7%,13.3%,27,5,5
Hi-Fi separates - Model 88,Hi-Fi separates,93,11,0.0%,67.1%,19.1%,13.7%,7,2,2
Hi-Fi separates - Model 89,Hi-Fi separates,93,20,0.0%,50.7%,27.0%,22.4%,10,5,5
Hi-Fi separates - Model 90,Hi-Fi separates,93,14,0.0%,71.9%,21.5%,6.6%,10,3,1
Hi-Fi separates - Model 91,Hi-Fi separates,93,18,0.0%,73.7%,26.3%,0.0%,13,5,0
Hi-Fi separates - Model 92,Hi-Fi separates,93,51,0.0%,68.3%,25.9%,5.7%,35,13,3
Hi-Fi separates - Model 93,Hi-Fi separates,93,14,0.0%,67.9%,22.0%,10.1%,10,3,1
Lamp - Model 1,Lamp,15,525,0.2%,43.4%,13.2%,43.5%,228,69,228
Lamp - Model 2,Lamp,15,92,0.0%,62.4%,7.9%,29.7%,57,7,28
Lamp - Model 3,Lamp,15,934,0.3%,55.1%,5.2%,39.7%,514,49,371
Lamp - Model 4,Lamp,15,1423,0.5%,72.7%,8.2%,19.0%,1035,117,271
Lamp - Model 5,Lamp,15,274,0.1%,51.3%,5.5%,43.2%,141,15,118
Lamp - Model 6,Lamp,15,925,0.3%,57.3%,26.0%,16.7%,530,241,154
Lamp - Model 7,Lamp,15,2,0.0%,55.7%,9.5%,34.8%,1,0,1
Lamp - Model 8,Lamp,15,750,0.3%,70.1%,24.7%,5.1%,526,185,39
Lamp - Model 9,Lamp,15,114,0.0%,47.0%,24.3%,28.8%,54,28,32
Lamp - Model 10,Lamp,15,1048,0.4%,77.9%,9.2%,12.9%,816,96,136
Lamp - Model 11,Lamp,15,0,0.0%,70.8%,22.7%,6.4%,0,0,0
Lamp - Model 12,Lamp,15,355,0.1%,58.9%,6.4%,34.6%,209,23,123
Lamp - Model 13,Lamp,15,618,0.2%,43.0%,26.3%,30.7%,266,163,189
Lamp - Model 14,Lamp,15,131,0.0%,78.9%,21.1%,0.0%,103,28,0
Lamp - Model 15,Lamp,15,94,0.0%,57.8%,21.2%,21.0%,54,20,20
Power tool - Model 1,Power tool,107,116,0.0%,72.1%,13.5%,14.4%,84,16,16
Power tool - Model 2,Power tool,107,2,0.0%,72.6%,7.0%,20.4%,1,0,1
Power tool - Model 3,Power tool,107,2,0.0%,75.8%,18.7%,5.5%,2,0,0
Power tool - Model 4,Power tool,107,32,0.0%,72.7%,16.3%,11.0%,23,5,4
Power tool - Model 5,Power tool,107,55,0.0%,65.7%,18.2%,16.1%,36,10,9
Power tool - Model 6,Power tool,107,120,0.0%,69.3%,7.0%,23.7%,83,8,29
Power tool - Model 7,Power tool,107,94,0.0%,42.4%,11.2%,46.4%,40,11,43
Power tool - Model 8,Power tool,107,48,0.0%,46.4%,26.8%,26.8%,22,13,13
Power tool - Model 9,Power tool,107,26,0.0%,48.8%,29.4%,21.8%,13,8,5
Power tool - Model 10,Power tool,107,478,0.2%,53.5%,9.6%,37.0%,256,46,176
Power tool - Model 11,Power tool,107,45,0.0%,71.6%,21.5%,6.9%,32,10,3
Power tool - Model 12,Power tool,107,49,0.0%,59.9%,18.9%,21.2%,29,9,11
Power tool - Model 13,Power tool,107,15,0.0%,68.8%,10.7%,20.5%,10,2,3
Power tool - Model 14,Power tool,107,129,0.0%,75.2%,24.8%,0.0%,97,32,0
Power tool - Model 15,Power tool,107,97,0.0%,66.0%,10.0%,24.0%,64,10,23
Power tool - Model 16,Power tool,107,20,0.0%,67.2%,6.8%,26.0%,13,1,6
Power tool - Model 17,Power tool,107,7,0.0%,41.2%,11.4%,47.3%,3,1,3
Power tool - Model 18,Power tool,107,93,0.0%,58.5%,26.7%,14.8%,54,25,14
Power tool - Model 19,Power tool,107,87,0.0%,69.1%,23.6%,7.3%,60,21,6
Power tool - Model 20,Power tool,107,26,0.0%,57.0%,13.6%,29.3%,15,4,7
Power tool - Model 21,Power tool,107,246,0.1%,54.8%,29.7%,15.5%,135,73,38
Power tool - Model 22,Power tool,107,13,0.0%,41.6%,26.7%,31.7%,5,3,5
Power tool - Model 23,Power tool,107,46,0.0%,63.1%,16.0%,20.9%,29,7,10
Power tool - Model 24,Power tool,107,235,0.1%,69.0%,17.2%,13.8%,162,40,33
Power tool - Model 25,Power tool,107,44,0.0%,73.7%,26.3%,0.0%,32,12,0
Power tool - Model 26,Power tool,107,83,0.0%,56.9%,11.9%,31.2%,47,10,26
Power tool - Model 27,Power tool,107,41,0.0%,63.7%,27.8%,8.5%,26,11,4
Power tool - Model 28,Power tool,107,26,0.0%,48.4%,20.6%,31.0%,13,5,8
Power tool - Model 29,Power tool,107,338,0.1%,65.3%,23.3%,11.4%,221,79,38
Power tool - Model 30,Power tool,107,43,0.0%,45.3%,22.9%,31.8%,19,10,14
Power tool - Model 31,Power tool,107,184,0.1%,76.4%,9.5%,14.1%,141,17,26
Power tool - Model 32,Power tool,107,21,0.0%,49.5%,29.3%,21.2%,10,6,5
Power tool - Model 33,Power tool,107,20,0.0%,47.2%,26.4%,26.4%,9,5,6
Power tool - Model 34,Power tool,107,3,0.0%,59.7%,11.2%,29.1%,2,0,1
Power tool - Model 35,Power tool,107,86,0.0%,74.8%,16.1%,9.0%,64,14,8
Power tool - Model 36,Power tool,107,38,0.0%,60.6%,14.0%,25.4%,23,5,10
Power tool - Model 37,Power tool,107,163,0.1%,63.7%,9.1%,27.2%,104,15,44
Power tool - Model 38,Power tool,107,52,0.0%,55.6%,29.2%,15.1%,29,15,8
Power tool - Model 39,Power tool,107,282,0.1%,50.3%,21.4%,28.3%,142,60,80
Power tool - Model 40,Power tool,107,17,0.0%,53.0%,24.3%,22.7%,9,4,4
Power tool - Model 41,Power tool,107,166,0.1%,45.2%,29.2%,25.5%,75,49,42
Power tool - Model 42,Power tool,107,123,0.0%,58.2%,10.9%,30.9%,72,13,38
Power tool - Model 43,Power tool,107,120,0.0%,42.9%,9.2%,47.8%,52,11,57
Power tool - Model 44,Power tool,107,152,0.1%,60.8%,13.4%,25.8%,92,20,40
Power tool - Model 45,Power tool,107,117,0.0%,73.2%,15.8%,11.1%,86,18,13
Power tool - Model 46,Power tool,107,80,0.0%,49.9%,20.4%,29.6%,40,16,24
Power tool - Model 47,Power tool,107,12,0.0%,68.3%,9.2%,22.6%,8,1,3
Power tool - Model 48,Power tool,107,3,0.0%,46.7%,5.9%,47.4%,1,0,2
Power tool - Model 49,Power tool,107,207,0.1%,69.5%,21.6%,8.9%,144,45,18
Power tool - Model 50,Power tool,107,78,0.0%,59.0%,26.1%,14.9%,46,20,12
Power tool - Model 51,Power tool,107,130,0.0%,72.2%,19.6%,8.1%,94,26,10
Power tool - Model 52,Power tool,107,54,0.0%,74.7%,10.1%,15.1%,40,5,9
Power tool - Model 53,Power tool,107,10,0.0%,44.5%,11.7%,43.8%,4,1,5
Power tool - Model 54,Power tool,107,11,0.0%,42.3%,18.3%,39.4%,5,2,4
Power tool - Model 55,Power tool,107,95,0.0%,77.5%,6.0%,16.6%,74,6,15
Power tool - Model 56,Power tool,107,46,0.0%,44.9%,16.3%,38.8%,21,8,17
Power tool - Model 57,Power tool,107,18,0.0%,77.4%,12.9%,9.7%,14,2,2
Power tool - Model 58,Power tool,107,55,0.0%,60.3%,6.0%,33.7%,33,3,19
Power tool - Model 59,Power tool,107,5,0.0%,45.9%,29.7%,24.4%,2,1,2
Power tool - Model 60,Power tool,107,71,0.0%,78.6%,5.1%,16.3%,56,4,11
Power tool - Model 61,Power tool,107,26,0.0%,78.1%,21.0%,0.9%,20,5,1
Power tool - Model 62,Power tool,107,131,0.0%,74.7%,16.4%,8.9%,98,21,12
Power tool - Model 63,Power tool,107,30,0.0%,60.6%,17.2%,22.2%,18,5,7
Power tool - Model 64,Power tool,107,50,0.0%,66.7%,8.5%,24.8%,33,4,13
Power tool - Model 65,Power tool,107,1,0.0%,41.2%,12.7%,46.1%,0,0,1
Power tool - Model 66,Power tool,107,6,0.0%,68.2%,10.0%,21.8%,4,1,1
Power tool - Model 67,Power tool,107,41,0.0%,66.9%,29.2%,3.8%,27,12,2
Power tool - Model 68,Power tool,107,53,0.0%,43.8%,21.8%,34.4%,23,12,18
Power tool - Model 69,Power tool,107,75,0.0%,57.8%,26.7%,15.5%,43,20,12
Power tool - Model 70,Power tool,107,28,0.0%,47.1%,22.3%,30.6%,13,6,9
Power tool - Model 71,Power tool,107,97,0.0%,72.5%,27.5%,0.0%,70,27,0
Power tool - Model 72,Power tool,107,161,0.1%,67.3%,17.4%,15.2%,108,28,25
Power tool - Model 73,Power tool,107,124,0.0%,64.7%,26.7%,8.6%,80,33,11
Power tool - Model 74,Power tool,107,3,0.0%,62.8%,5.8%,31.4%,2,0,1
Power tool - Model 75,Power tool,107,54,0.0%,77.2%,22.2%,0.5%,42,12,0
Power tool - Model 76,Power tool,107,9,0.0%,67.1%,10.4%,22.5%,6,1,2
Power tool - Model 77,Power tool,107,23,0.0%,66.4%,14.8%,18.8%,15,3,5
Power tool - Model 78,Power tool,107,353,0.1%,66.0%,7.7%,26.3%,233,27,93
Power tool - Model 79,Power tool,107,13,0.0%,66.3%,30.0%,3.7%,9,4,0
Power tool - Model 80,Power tool,107,56,0.0%,41.9%,29.4%,28.6%,23,16,17
Power tool - Model 81,Power tool,107,79,0.0%,56.3%,26.8%,17.0%,44,21,14
Power tool - Model 82,Power tool,107,99,0.0%,71.3%,19.2%,9.5%,71,19,9
Power tool - Model 83,Power tool,107,67,0.0%,69.5%,27.0%,3.5%,47,18,2
Power tool - Model 84,Power tool,107,1,0.0%,56.2%,13.2%,30.7%,1,0,0
Power tool - Model 85,Power tool,107,32,0.0%,66.7%,25.2%,8.1%,21,8,3
Power tool - Model 86,Power tool,107,60,0.0%,70.5%,24.9%,4.6%,42,15,3
Power tool - Model 87,Power tool,107,8,0.0%,57.4%,25.4%,17.1%,5,2,1
Power tool - Model 88,Power tool,107,35,0.0%,44.8%,18.6%,36.6%,16,7,12
Power tool - Model 89,Power tool,107,3,0.0%,40.2%,13.1%,46.7%,1,0,2
Power tool - Model 90,Power tool,107,7,0.0%,54.7%,14.9%,30.4%,4,1,2
Power tool - Model 91,Power tool,107,41,0.0%,67.8%,14.7%,17.5%,28,6,7
Power tool - Model 92,Power tool,107,12,0.0%,57.9%,10.9%,31.1%,7,1,4
Power tool - Model 93,Power tool,107,69,0.0%,54.9%,10.7%,34.4%,38,7,24
Power tool - Model 94,Power tool,107,96,0.0%,42.9%,20.1%,37.0%,41,19,36
Power tool - Model 95,Power tool,107,132,0.0%,66.7%,20.5%,12.8%,88,27,17
Power tool - Model 96,Power tool,107,18,0.0%,58.5%,14.5%,27.0%,11,3,4
Power tool - Model 97,Power tool,107,15,0.0%,74.5%,18.0%,7.5%,11,3,1
Power tool - Model 98,Power tool,107,9,0.0%,59.2%,5.6%,35.2%,5,1,3
Power tool - Model 99,Power tool,107,83,0.0%,53.6%,14.5%,31.8%,45,12,26
Power tool - Model 100,Power tool,107,100,0.0%,56.0%,19.5%,24.5%,56,20,24
Power tool - Model 101,Power tool,107,3,0.0%,61.3%,20.2%,18.5%,2,1,0
Power tool - Model 102,Power tool,107,225,0.1%,70.6%,25.3%,4.1%,159,57,9
Power tool - Model 103,Power tool,107,4,0.0%,68.7%,28.9%,2.4%,3,1,0
Power tool - Model 104,Power tool,107,64,0.0%,40.7%,9.9%,49.4%,26,6,32
Power tool - Model 105,Power tool,107,101,0.0%,40.3%,21.2%,38.5%,41,21,39
Power tool - Model 106,Power tool,107,167,0.1%,75.9%,11.1%,13.0%,127,19,21
Power tool - Model 107,Power tool,107,102,0.0%,77.1%,6.5%,16.4%,79,7,16
Small kitchen item - Model 1,Small kitchen item,72,21,0.0%,69.0%,19.5%,11.6%,14,4,3
Small kitchen item - Model 2,Small kitchen item,72,5,0.0%,51.0%,7.0%,42.0%,3,0,2
Small kitchen item - Model 3,Small kitchen item,72,32,0.0%,43.4%,27.4%,29.2%,14,9,9
Small kitchen item - Model 4,Small kitchen item,72,14,0.0%,47.7%,13.1%,39.2%,7,2,5
Small kitchen item - Model 5,Small kitchen item,72,16,0.0%,49.1%,13.9%,37.1%,8,2,6
Small kitchen item - Model 6,Small kitchen item,72,17,0.0%,42.8%,18.0%,39.2%,7,3,7
Small kitchen item - Model 7,Small kitchen item,72,77,0.0%,42.7%,25.0%,32.3%,33,19,25
Small kitchen item - Model 8,Small kitchen item,72,37,0.0%,49.3%,18.5%,32.2%,18,7,12
Small kitchen item - Model 9,Small kitchen item,72,18,0.0%,75.2%,21.3%,3.5%,14,4,0
Small kitchen item - Model 10,Small kitchen item,72,45,0.0%,61.3%,13.1%,25.6%,28,6,11
Small kitchen item - Model 11,Small kitchen item,72,60,0.0%,53.3%,21.7%,24.9%,32,13,15
Small kitchen item - Model 12,Small kitchen item,72,15,0.0%,79.1%,20.9%,0.0%,12,3,0
Small kitchen item - Model 13,Small kitchen item,72,25,0.0%,62.3%,23.3%,14.4%,16,6,3
Small kitchen item - Model 14,Small kitchen item,72,6,0.0%,58.6%,6.5%,34.9%,4,0,2
Small kitchen item - Model 15,Small kitchen item,72,10,0.0%,62.5%,28.9%,8.6%,6,3,1
Small kitchen item - Model 16,Small kitchen item,72,54,0.0%,47.0%,22.3%,30.7%,25,12,17
Small kitchen item - Model 17,Small kitchen item,72,10,0.0%,48.0%,18.4%,33.6%,5,2,3
Small kitchen item - Model 18,Small kitchen item,72,35,0.0%,43.9%,16.3%,39.9%,15,6,14
Small kitchen item - Model 19,Small kitchen item,72,59,0.0%,70.2%,13.7%,16.1%,41,8,10
Small kitchen item - Model 20,Small kitchen item,72,5,0.0%,66.6%,24.9%,8.5%,3,1,1
Small kitchen item - Model 21,Small kitchen item,72,40,0.0%,77.1%,10.9%,12.0%,31,4,5
Small kitchen item - Model 22,Small kitchen item,72,14,0.0%,56.0%,8.8%,35.2%,8,1,5
Small kitchen item - Model 23,Small kitchen item,72,157,0.1%,75.8%,24.2%,0.0%,119,38,0
Small kitchen item - Model 24,Small kitchen item,72,31,0.0%,61.6%,26.1%,12.4%,19,8,4
Small kitchen item - Model 25,Small kitchen item,72,78,0.0%,60.8%,20.6%,18.6%,47,16,15
Small kitchen item - Model 26,Small kitchen item,72,38,0.0%,43.6%,23.9%,32.6%,17,9,12
Small kitchen item - Model 27,Small kitchen item,72,2,0.0%,45.1%,25.7%,29.2%,1,1,0
Small kitchen item - Model 28,Small kitchen item,72,48,0.0%,71.3%,22.7%,6.0%,34,11,3
Small kitchen item - Model 29,Small kitchen item,72,144,0.1%,41.4%,12.6%,46.0%,60,18,66
Small kitchen item - Model 30,Small kitchen item,72,44,0.0%,50.5%,14.0%,35.5%,22,6,16
Small kitchen item - Model 31,Small kitchen item,72,81,0.0%,43.5%,28.4%,28.1%,35,23,23
Small kitchen item - Model 32,Small kitchen item,72,103,0.0%,62.2%,12.6%,25.2%,64,13,26
Small kitchen item - Model 33,Small kitchen item,72,12,0.0%,55.9%,16.2%,27.9%,7,2,3
Small kitchen item - Model 34,Small kitchen item,72,11,0.0%,64.0%,17.9%,18.1%,7,2,2
Small kitchen item - Model 35,Small kitchen item,72,45,0.0%,76.8%,17.4%,5.8%,35,8,2
Small kitchen item - Model 36,Small kitchen item,72,25,0.0%,76.7%,23.3%,0.0%,19,6,0
Small kitchen item - Model 37,Small kitchen item,72,87,0.0%,48.3%,28.3%,23.4%,42,25,20
Small kitchen item - Model 38,Small kitchen item,72,110,0.0%,44.7%,25.4%,29.9%,49,28,33
Small kitchen item - Model 39,Small kitchen item,72,21,0.0%,55.2%,26.9%,17.8%,12,6,3
Small kitchen item - Model 40,Small kitchen item,72,13,0.0%,74.7%,25.1%,0.1%,10,3,0
Small kitchen item - Model 41,Small kitchen item,72,72,0.0%,71.6%,12.6%,15.8%,52,9,11
Small kitchen item - Model 42,Small kitchen item,72,15,0.0%,43.2%,15.1%,41.7%,6,2,7
Small kitchen item - Model 43,Small kitchen item,72,82,0.0%,46.9%,22.4%,30.7%,38,18,26
Small kitchen item - Model 44,Small kitchen item,72,26,0.0%,53.8%,29.4%,16.8%,14,8,4
Small kitchen item - Model 45,Small kitchen item,72,52,0.0%,65.6%,25.6%,8.8%,34,13,5
Small kitchen item - Model 46,Small kitchen item,72,5,0.0%,45.3%,26.6%,28.1%,2,1,2
Small kitchen item - Model 47,Small kitchen item,72,47,0.0%,76.9%,17.2%,5.9%,36,8,3
Small kitchen item - Model 48,Small kitchen item,72,29,0.0%,64.3%,24.1%,11.6%,19,7,3
Small kitchen item - Model 49,Small kitchen item,72,42,0.0%,47.0%,17.6%,35.4%,20,7,15
Small kitchen item - Model 50,Small kitchen item,72,9,0.0%,55.9%,8.7%,35.4%,5,1,3
Small kitchen item - Model 51,Small kitchen item,72,64,0.0%,54.7%,6.7%,38.6%,35,4,25
Small kitchen item - Model 52,Small kitchen item,72,95,0.0%,41.0%,8.4%,50.6%,39,8,48
Small kitchen item - Model 53,Small kitchen item,72,12,0.0%,78.5%,18.7%,2.7%,9,2,1
Small kitchen item - Model 54,Small kitchen item,72,5,0.0%,78.6%,15.8%,5.6%,4,1,0
Small kitchen item - Model 55,Small kitchen item,72,1,0.0%,52.5%,17.7%,29.9%,1,0,0
Small kitchen item - Model 56,Small kitchen item,72,49,0.0%,57.6%,7.6%,34.8%,28,4,17
Small kitchen item - Model 57,Small kitchen item,72,44,0.0%,65.6%,10.4%,24.0%,29,5,10
Small kitchen item - Model 58,Small kitchen item,72,38,0.0%,64.8%,21.3%,14.0%,25,8,5
Small kitchen item - Model 59,Small kitchen item,72,13,0.0%,46.1%,6.5%,47.4%,6,1,6
Small kitchen item - Model 60,Small kitchen item,72,24,0.0%,71.2%,16.5%,12.3%,17,4,3
Small kitchen item - Model 61,Small kitchen item,72,43,0.0%,42.3%,29.9%,27.8%,18,13,12
Small kitchen item - Model 62,Small kitchen item,72,33,0.0%,42.3%,22.4%,35.3%,14,7,12
Small kitchen item - Model 63,Small kitchen item,72,210,0.1%,79.3%,11.0%,9.7%,167,23,20
Small kitchen item - Model 64,Small kitchen item,72,7,0.0%,45.7%,8.0%,46.3%,3,1,3
Small kitchen item - Model 65,Small kitchen item,72,57,0.0%,52.1%,7.5%,40.3%,30,4,23
Small kitchen item - Model 66,Small kitchen item,72,25,0.0%,67.7%,6.6%,25.8%,17,2,6
Small kitchen item - Model 67,Small kitchen item,72,27,0.0%,60.4%,29.9%,9.7%,16,8,3
Small kitchen item - Model 68,Small kitchen item,72,60,0.0%,72.6%,20.4%,7.1%,44,12,4
